ISOcountry code,country,World region,Continent,Survey,Year,Admin,Admin name Region,admin level,Population Share (%),MPI,"Headcount Ratio (H, %)","Intensity (A, %)"
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kebbi South,2,0.7,0.431,83.8,51.5
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kogi Central,2,0.6,0.179,49.5,36.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kogi East,2,1,0.333,77,43.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kogi West,2,0.6,0.173,45.5,38.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kwara Central,2,0.6,0.155,42.7,36.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kwara North,2,0.7,0.227,56.7,40.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Kwara South,2,0.4,0.153,41.7,36.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Lagos West,2,3,0.098,29.7,33
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Lagos Central,2,1.8,0.077,22.6,33.9
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Lagos East,2,1.9,0.129,35.5,36.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Nassarawa South,2,0.4,0.277,68.5,40.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Nassarawa North,2,0.3,0.235,58.8,40
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Nassarawa West,2,0.3,0.202,51.8,39
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Niger East,2,1.4,0.26,64.5,40.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Niger North,2,0.7,0.313,76.4,41
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Niger South,2,0.4,0.277,72.3,38.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Ogun Central,2,0.5,0.18,46.4,38.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Ogun East,2,0.7,0.172,48.9,35.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Ogun West,2,1.5,0.377,83.9,44.9
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Ondo Central,2,0.8,0.072,20.1,35.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Ondo North,2,0.6,0.079,23.5,33.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Ondo South,2,0.9,0.127,36.2,35.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Osun Central,2,0.9,0.142,38,37.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Osun East,2,0.5,0.134,38.3,35
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Osun West,2,0.8,0.171,45.5,37.5
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Oyo Central,2,1.4,0.167,44.8,37.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Oyo North,2,1.1,0.256,60.1,42.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Oyo South,2,1.1,0.154,42.4,36.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Plateau Central,2,0.9,0.349,83.6,41.8
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Plateau North,2,0.5,0.353,79.1,44.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Plateau South,2,1,0.384,86.5,44.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Rivers East,2,1.6,0.186,52,35.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Rivers South East,2,0.8,0.299,73.5,40.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Rivers West,2,1,0.288,70.6,40.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Osun West,2,0.8,0.171,45.5,37.5
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Sokoto East,2,1,0.408,90.3,45.2
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Sokoto North,2,1,0.42,89.4,47
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Sokoto South,2,1.1,0.401,91.8,43.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Taraba Central,2,0.5,0.306,75.5,40.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Taraba North,2,0.6,0.394,83.6,47.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Taraba South,2,0.6,0.316,78.6,40.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Yobe East,2,1.1,0.345,80.8,42.8
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Yobe North,2,0.4,0.394,87.6,45
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Yobe South,2,0.3,0.425,88.1,48.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Zamfara Central,2,0.9,0.286,73.1,39.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Zamfara North,2,0.4,0.315,75.4,41.8
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,Zamfara West,2,1.2,0.365,82.6,44.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,Senatorial district,FCT Abuja,2,1.6,0.186,48.3,38.6
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2020,Region,Central,1,,0.108,20.5,52.8
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2021,Region,Eastern,1,,0.245,45.7,53.5
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2022,Region,Northern,1,,0.362,62.9,57.5
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2023,Region,Western,1,,0.242,45.1,53.7
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2024,Sub-region,Kampala,2,,0.002,0.4,42.9
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2025,Sub-region,Buganda South,2,,0.095,17.9,52.9
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2026,Sub-region,Buganda North,2,,0.166,31.5,52.8
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2027,Sub-region,Busoga,2,,0.244,45.1,54.1
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2028,Sub-region,Bukedi,2,,0.224,42.2,53
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2029,Sub-region,Elgon,2,,0.205,40.5,50.7
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2030,Sub-region,Teso,2,,0.306,55.6,55.1
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2031,Sub-region,Karamoja,2,,0.55,84.9,64.8
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2032,Sub-region,Lango,2,,0.315,57,55.2
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2033,Sub-region,Acholi,2,,0.352,63.6,55.4
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2034,Sub-region,West Nile,2,,0.334,59.1,56.6
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2035,Sub-region,Bunyoro,2,,0.247,45.7,54
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2036,Sub-region,Toro,2,,0.246,45.5,54.2
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2037,Sub-region,Ankole,2,,0.229,42.6,53.7
UGA,Uganda,Sub-Saharan Africa,Africa,UNHS ,2019-2038,Sub-region,Kigezi,2,,0.254,48.4,52.4
IND,India,South Asia,Asia,NFHS,2015-2016,State,Andhra Pradesh,1,,0.053,12.31,43.23
IND,India,South Asia,Asia,NFHS,2015-2016,State,Arunachal Pradesh,1,,0.115,24.27,47.26
